,num,long_title,status,author
5,SBN-1148,"an act amending section 58 of republic act no. 8551, otherwise known as the 'philippine national police reform and reorganization act of 1998', appropriating funds therefor and for other purposes",Pending in the Committee,"De Lima, Leila M."
10,SBN-1143,"an act institutionalizing the philippine navy forward operating bases, appropriating funds for the establishment thereof, and for other purposes",Pending in the Committee,"Tolentino, Francis ""Tol"" N."
14,SBN-1139,"an act creating the department of disaster resilience, defining its powers and functions, and appropriating funds therefor",Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F."
16,SBN-1137,"an act creating the department of water resources management, defining its powers and functions, and appropriating funds therefor, and for other purposes",Pending in the Committee,"Dela Rosa, Ronald ""Bato"""
26,SBN-1127,"an act establishing the coconut trust fund, providing for its management and utilization, reconstituting the philippine coconut authority, and for other purposes",Pending in the Committee,"Marcos, Imee R."
27,SBN-1126,"an act expanding the philhealth outpatient coverage on dialysis and renal replacement therapy, and for other purposes",Pending in the Committee,"Marcos, Imee R."
28,SBN-1125,"an act creating the national resiliency and disaster management authority, prescribing its powers and functions, appropriating funds therefor, and for other purposes",Pending in the Committee,"Marcos, Imee R."
29,SBN-1124,"an act amending sections 443, 454, and 463 of republic act no. 7160 otherwise known as the ‘local government code of 1991",Pending in the Committee,"Binay, Maria Lourdes Nancy S."
30,SBN-1123,an act providing for a five (5)-day special emergency leave for all workers in the public and private sector directly affected by natural calamities or disasters,Pending in the Committee,"De Lima, Leila M."
32,SBN-1121,"an act providing for the mandatory inclusion of anti-obesity education program and exercise including play and traditional games, in the pre-school, elementary and high school curricula, both in public and private schools and educational institutions and for other purposes",Pending in the Committee,"Revilla Jr., Ramon Bong"
33,SBN-1120,an act mandating all public and private medical institutions and hospitals to provide for motorcycle medical emergency first-responders,Pending in the Committee,"Revilla Jr., Ramon Bong"
34,SBN-1119,"an act regulating the operation and maintenance of internet cafés, video and computer game shops and other establishments, providing computer services within the vicinity of schools, public playgrounds, day care facilities and churches, and for other purposes",Pending in the Committee,"Revilla Jr., Ramon Bong"
35,SBN-1118,"an act establishing a comprehensive and integrated national policy and program guidelines for the operation and maintenance of dormitories and boarding houses, providing penalties therefor, and for other purposes",Pending in the Committee,"Revilla Jr., Ramon Bong"
36,SBN-1117,an act providing for the scholarship to children and dependents of farmers and for other purposes,Pending in the Committee,"Revilla Jr., Ramon Bong"
37,SBN-1116,"an act granting civil service eligibility to government employees, under certain conditions, whose status of appointment is either casual or contractual, and who have continuously rendered a total of ten (10) years of eeficient service",Pending in the Committee,"Revilla Jr., Ramon Bong"
38,SBN-1115,an act providing for the summary titling of real properties used as public school sites,Pending in the Committee,"Revilla Jr., Ramon Bong"
40,SBN-1113,"an act amending republic act no. 8762, otherwise known as the retail trade liberalization act, and for other purposes",Pending in the Committee,"Marcos, Imee R."
41,SBN-1112,"an act to establish the philippine coast guard academy allocating funds therefor, and for other purposes",Pending in the Committee,"Marcos, Imee R."
42,SBN-1111,"an act extending the validity of the license to own and possess, permit to carry outside of residence or place of business and registration of firearms, amending for the purpose sections 4, 7, and 19 of republic act no. 10591, otherwise known as the ‘comprehensive firearms and ammunition regulation act’, and for other purposes",Pending in the Committee,"Marcos, Imee R."
43,SBN-1110,"an act amending republic act no. 8178 or the ‘agricultural tarrification act of 1996,’ as amended",Pending in the Committee,"Marcos, Imee R."
44,SBN-1109,"an act providing mandatory airtime from television and radio stations to enable the government to inform the public, safeguarding the people’s right to information, and for other purposes",Pending in the Committee,"Marcos, Imee R."
45,SBN-1108,"an act increasing the bed capacity of the vicente sotto memorial medical center  of the province of cebu, from one thousand two hundred (1,200) to one thousand five hundred (1,500) beds and appropriating funds therefor",Pending in the Committee,"Marcos, Imee R."
46,SBN-1107,"an act urging the planning, evaluation, and promotion of pineapples for international export, establishing the pineapple export development council, and providing funds therefor",Pending in the Committee,"Marcos, Imee R."
47,SBN-1106,"an act strengthening the independence of the commission on elections, amending for the purpose pertinent provisions of batas pambansa 881, otherwise known as the ‘omnibus election code’, as amended, providing funds therefor, and for other purposes",Pending in the Committee,"Marcos, Imee R."
48,SBN-1105,"an act extending the term of office of barangay officials and members of the sangguniang kabataan, amending republic act no. 7160 otherwise known as ‘the local government code of 1991’ and for other purposes",Pending in the Committee,"Marcos, Imee R."
49,SBN-1104,an act providing for early voting for qualified senior citizens and persons with disabilities in all elections,Pending in the Committee,"Marcos, Imee R."
50,SBN-1103,"an act increasing the bed capacity of the cagayan valley medical center (cvmc) in tuguegarao city, province of cagayan, from five hundred (500) to one thousand (1,000) beds and appropriating funds therefor",Pending in the Committee,"Marcos, Imee R."
51,SBN-1102,"an act institutionalizing the filipino first policy in the government procurement system, amending for the purpose republic act no. 9184 otherwise known as the government procurement reform act and for other purposes",Pending in the Committee,"Tolentino, Francis ""Tol"" N."
52,SBN-1101,"an act upgrading the rank classification structure of the uniformed members of the bureau of fire protection (bfp) and the bureau of jail management and penology (bjmp) organization, amending for the purpose certain provisions of republic act no. 6975, as amended by republic act no. 8551, and republic act no. 9263 and for other purposes",Pending in the Committee,"Dela Rosa, Ronald ""Bato"""
53,SBN-1100,"an act transferring the control and supervision of the provincial and sub-provincial jails to the bureau of jail management and penology, amending for the purpose certain provisions of republic act no. 6975, otherwise known as the ‘department of the interior and local government act of 1990’ as amended, and for other purposes",Pending in the Committee,"Dela Rosa, Ronald ""Bato"""
54,SBN-1099,"an act strengthening the government's efforts towards the treatment and rehabilitation of drug dependents or people who use drugs (pwuds) by establishing drug abuse treatment and rehabilitation centers in every province and city in the country, appropriating funds therefor and for other purposes",Pending in the Committee,"Villar, Cynthia A."
55,SBN-1098,an act regulating the ownership and operation of drones by private persons,Pending in the Committee,"Pimentel, Aquilino ""Koko"" III"
56,SBN-1097,"an act recognizing the rights of natural ecosystems, populations, and processes and providing mechanisms for the protection and enforcement thereof",Pending in the Committee,"Hontiveros, Risa"
57,SBN-1096,"an act providing social security and non-monetary benefits to all barangay officials, workers and volunteers, appropriating funds therefor and for other purposes",Pending in the Committee,"Lapid, Manuel ""Lito"" M."
58,SBN-1095,"an act strengthening the regulation of health facilities and services, and appropriating funds therefor, repealing for the purpose republic act no. 4226, otherwise known as the ‘hospital licensure act’",Pending in the Committee,"Lapid, Manuel ""Lito"" M."
59,SBN-1094,an act requiring all heads of local government units to establish ‘ofw family help desks’ in their offices,Pending in the Committee,"Lapid, Manuel ""Lito"" M."
60,SBN-1093,"an act regulating the registration, licensure, and practice of physical therapy, providing funds therefor and for other related purposes",Pending in the Committee,"Lapid, Manuel ""Lito"" M."
62,SBN-1091,"an act recognizing hazing as a heinous crime, amending for the purpose republic act no. 7659, as amended, otherwise known as death penalty law",Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F."
63,SBN-1090,an act providing for the magna carta of the out-of-school youth,Pending in the Committee,"Angara, Sonny"
64,SBN-1089,an act instituting policies for the protection and welfare of caregivers in the practice of their profession,Pending in the Committee,"Angara, Sonny"
65,SBN-1088,"an act to further empower the members of the sangguniang kabataan (sk) by amending certain provisions in republic act no. 10742, otherwise known as the ‘sangguniang kabataan reform act of 2015’",Pending in the Committee,"Angara, Sonny"
66,SBN-1087,an act institutionalizing the grant of a teaching supplies allowance for public school teachers and appropriating funds therefor,Pending in the Committee,"Gatchalian, Win"
68,SBN-1085,an act declaring february 10 of every year as the ‘national anti-hazing day’ in commemoration of all the victims of hazing in the philippines,Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F."
69,SBN-1084,"an act establishing the tax regime of one person corporations, amending for this purpose section 22(b) of the national internal revenue code of 1997, as amended",Pending in the Committee,"Recto, Ralph G."
71,SBN-1082,"an act establishing the national coastal greenbelt action plan, providing funds therefor, and for other purpose",Pending in the Committee,"Binay, Maria Lourdes Nancy S."
73,SBN-1080,"an act institutionalizing public-private partnerships (ppp), creating the ppp center, appropriating funds therefor, and for other purposes",Pending in the Committee,"Recto, Ralph G."
78,SBN-1075,"an act prohibiting black sand mining in the philippines, providing penalties therefor, and for other purposes",Pending in the Committee,"De Lima, Leila M."
82,SBN-1071,"an act professionalizing paralegal practice in the philippines, creating for this purpose a professional regulatory board of paralegals, appropriating funds therefor and for other purposes",Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F."
83,SBN-1070,an act establishing the rules and policies on the domestic administrative adoption proceeding of filipino and for other purposes,Pending in the Committee,"Poe, Grace"
84,SBN-1069,"an act designating the 3rd week of november as ‘linggo ng pagalala at paghilom’ for road crash victims, survivors, and families",Consolidated/Substituted in the Committee Report,"Poe, Grace"
89,SBN-1064,"an act providing for a bill of rights of commuters, promoting safe and accessible public transportation, appropriating funds therefor and for other purposes",Pending in the Committee,"Pacquiao, Emmanuel ""Manny"" D."
91,SBN-1062,"an act creating the philippine sports academy as an attached agency of the philippine sports commission, providing its structure, powers and functions, and for other purposes",Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F."
94,SBN-1059,an act recognizing the civil effects of church decreed annulment,Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F."
95,SBN-1058,an act regulating the practice of microbiology in the philippines and for other purposes,Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F."
97,SBN-1056,"an act providing for a comprehensive and responsive civil registration and vital statistics system, providing funds thereof, and for other purposes",Pending in the Committee,"Hontiveros, Risa"
104,SBN-1049,"an act creating the special mass transit system support fund amending for the purpose section 7 of republic act no. 8794, as amended",Pending in the Committee,"Recto, Ralph G."
112,SBN-1041,"an act recognizing digital assets, requiring the registration of digital asset enterprises, their operators, and for other purposes",Pending in the Committee,"Marcos, Imee R."
113,SBN-1040,"an act providing for a comprehensive hazardous and radioactive wastes management, providing penalties for violations thereof and for other purposes",Pending in the Committee,"Binay, Maria Lourdes Nancy S."
114,SBN-1039,an act declaring the fifth of october of every year as the national teachers day,Pending in the Committee,"Binay, Maria Lourdes Nancy S."
116,SBN-1037,"an act creating the mega cebu development authority, prescribing its functions and duties, and providing funds therefor",Pending in the Committee,"Marcos, Imee R."
126,SBN-1027,"an act declaring tala in the municipality of orani, province of bataan ecotourism zone and appropriating funds therefor",Pending in the Committee,"Villar, Cynthia A."
127,SBN-1026,"an act declaring pilis falls in barangay palili, municipality of samal, province of bataan an ecotourism site and appropriating funds therefor",Pending in the Committee,"Villar, Cynthia A."
130,SBN-1023,an act amending section 19 of republic act no. 10591 or the comprehensive firearms and ammunition regulation act,Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F."
133,SBN-1020,"an act creating human resource management office in the local government units, and defining its functions",Pending in the Committee,"Revilla Jr., Ramon Bong"
134,SBN-1019,"an act providing automatic promotion of government officials and employees upon retirement from government service, and for other purposes",Pending in the Committee,"Revilla Jr., Ramon Bong"
137,SBN-1016,"an act amending certain provisions of republic act no. 10912, otherwise known as the ‘continuing professional development act of 2016",Pending in the Committee,"Revilla Jr., Ramon Bong"
138,SBN-1015,"an act creating the lake lanao development authority defining its powers, functions, and duties, appropriating funds therefor and for other purposes",Pending in the Committee,"Dela Rosa, Ronald ""Bato"""
139,SBN-1014,"an act amending republic act no. 8972 otherwise known as the ‘solo parents’ welfare act of 2000’, and for other purposes",Pending in the Committee,"Marcos, Imee R."
140,SBN-1013,an act to promote rural health by mandating the national government to construct potable water supply system in every barangay in the country and allocate funds therefor,Pending in the Committee,"Pacquiao, Emmanuel ""Manny"" D."
141,SBN-1012,"an act amending republic act no. 7160, otherwise known as the local government code of 1991, by expanding the scope of local government units’ powers over local public transportation systems and for other purposes",Pending in the Committee,"Tolentino, Francis ""Tol"" N."
142,SBN-1011,"an act amending republic act no. 7160, otherwise known as the local government code of 1991, for the purpose of enhancing the power of local government units in waste management and for other purposes",Pending in the Committee,"Tolentino, Francis ""Tol"" N."
144,SBN-1009,"an act amending investment restrictions in commonwealth act no. 541, as amended by letter of instructions no. 630, and for other purposes",Pending in the Committee,"Gatchalian, Win"
148,SBN-1005,"an act amending section 185 of the omnibus election code, as amended, by abolishing the printing of the voters information and instruction sheet",Pending in the Committee,"Pimentel, Aquilino ""Koko"" III"
149,SBN-1004,an act establishing a separate prison facility for those convicted of heinous crimes,Consolidated/Substituted in the Committee Report,"Zubiri, Juan Miguel ""Migz"" F."
150,SBN-1003,"an act amending articles 29, 97, 98, and 99 of act no. 3815, otherwise known as the revised penal code, and for other purposes",Pending in the Committee,"Go, Christopher Lawrence T."
155,SBN-998,"an act amending articles 97 and 99 of act no. 3815, as amended, otherwise known as the revised penal code",Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F."
156,SBN-997,"an act creating the department of overseas employment, defining its powers and functions, appropriating funds therefor, and for other purposes",Pending in the Committee,"Pacquiao, Emmanuel ""Manny"" D."
157,SBN-996,"an act providing for the manner of selecting an acting president, as required under article vii, section 7 of the constitution",Pending in the Committee,"Pimentel, Aquilino ""Koko"" III"
164,SBN-989,"an act establishing the philippine marine corps, defining its powers and functions, appropriating funds therefor, and for other purposes",Pending in the Committee,"Binay, Maria Lourdes Nancy S."
165,SBN-988,"an act establishing the philippine national sports academy defining its powers and functions, appropriating funds therefor, and for other purposes",Pending in the Committee,"Pacquiao, Emmanuel ""Manny"" D."
166,SBN-987,"an act increasing the excise tax on heated tobacco products and vapor products, amending for this purpose sections 144 (b), 144 (c), 147 and 150 of the national internal revenue code of 1997, as amended, and for other purposes",Consolidated/Substituted in the Committee Report,"Pacquiao, Emmanuel ""Manny"" D."
168,SBN-985,"an act allowing women to revert to their maiden surname, establishing a procedure for reversion and appropriating funds therefor",Pending in the Committee,"Lapid, Manuel ""Lito"" M."
171,SBN-982,an act prescribing the order of presidential succession,Pending in the Committee,"Lacson, Panfilo ""Ping"" M."
178,SBN-975,an act establishing a welfare and social assistance program to families left behind by overseas filipino workers,Pending in the Committee,"Binay, Maria Lourdes Nancy S."
181,SBN-972,an act to encourage good samaritans who provide reasonable assistance in an emergency by protecting them from liability,Pending in the Committee,"Gordon, Richard J."
182,SBN-971,"an act redefining the crime of game-fixing and prescribing stiffer penalties therefor, amending for this purpose presidential decree no. 483",Pending in the Committee,"Pacquiao, Emmanuel ""Manny"" D."
183,SBN-970,an act increasing the hazard pay of all personnel of the armed forces of the philippines and providing hazard pay to all civilian doctors and nurses under the afpmmc assigned in conflict areas providing funds therefor,Pending in the Committee,"Pacquiao, Emmanuel ""Manny"" D."
184,SBN-969,an act granting philippine citizenship to egor dmitriev,Pending in the Committee,"Pacquiao, Emmanuel ""Manny"" D."
187,SBN-966,an act establishing a no-homework policy for all primary and secondary schools in the country,Pending in the Committee,"Poe, Grace"
188,SBN-965,"an act providing for the identification, assessment, and education of children with autism spectrum disorder",Pending in the Committee,"Binay, Maria Lourdes Nancy S."
207,SBN-946,"an act to establish programs and activities to aid victims of elder abuse, and provide training to health and government professionals in the assistance of such victims",Pending in the Committee,"Poe, Grace"
209,SBN-944,an act ordaining the bill of rights of taxi passengers,Pending in the Committee,"Poe, Grace"
210,SBN-943,"an act protecting the rights of internally displaced persons, appropriating funds therefor, and for other purposes",Pending in the Committee,"Poe, Grace"
213,SBN-940,an act integrating basic road safety and comprehensive driver’s education in the curriculum of the enhanced basic education (k to 12) program,Pending in the Committee,"Poe, Grace"
214,SBN-939,an act prescribing school bus safety standards and for other purposes,Pending in the Committee,"Poe, Grace"
219,SBN-934,"an act mandating the provision of free on-site living quarters for public school teachers, providing funds therefor and for other purposes",Pending in the Committee,"Poe, Grace"
221,SBN-932,an act further strengthening the system of birth registration of children in need of special protection (cnsp) in the philippines,Pending in the Committee,"Poe, Grace"
222,SBN-931,"an act providing burial assistance for unclaimed remains and for indigent decedents, appropriating funds therefor, and for other purposes.",Pending in the Committee,"Poe, Grace"
237,SBN-916,"an act regulating harbor pilotage services and the conduct of harbor pilots in all ports in the philippines, and for other purposes",Pending in the Committee,"Revilla Jr., Ramon Bong"
238,SBN-915,"an act amending certain provisions of republic act no. 7431, otherwise known as the 'radiologic technology act of 1992', and for other purposes",Pending in the Committee,"Revilla Jr., Ramon Bong"
239,SBN-914,an act reclassifying the salary and qualifications of certain employees in the judiciary and for other purposes,Pending in the Committee,"Revilla Jr., Ramon Bong"
247,SBN-906,"an act penalizing individuals who sell, give or in any way share any type of fireworks or firecrackers to minor children fifteen years old and below",Pending in the Committee,"Binay, Maria Lourdes Nancy S."
248,SBN-905,an act providing for a higher salary grade level and granting retirement benefits to all public school teachers and providing funds therefor,Pending in the Committee,"Pacquiao, Emmanuel ""Manny"" D."
254,SBN-899,"an act creating a cacao research and development center, authorizing the appropriation of funds therefor, and for other purposes",Pending in the Committee,"Lapid, Manuel ""Lito"" M."
260,SBN-893,"an act providing the rights accorded to victims of crimes, defining the duties of responsible officers and providing penalties therefor",Pending in the Committee,"Revilla Jr., Ramon Bong"
264,SBN-889,"an act reviving the philippine movie industry by providing incentives to the proprietors, lessees, operators of theaters and cinemas",Pending in the Committee,"Revilla Jr., Ramon Bong"
267,SBN-886,"an act instituting a national land use policy, providing the implementing mechanisms therefor, and for other purposes",Pending in the Committee,"Revilla Jr., Ramon Bong"
273,SBN-880,"an act regulating the production, importation, sale, provision, use, recovery, collection, recycling and disposal of plastic products",Pending in the Committee,"Lapid, Manuel ""Lito"" M."
280,SBN-873,an act establishing a labeling and nutritional awareness program that requires schools to post nutritional content information regarding food served in their canteens,Pending in the Committee,"Binay, Maria Lourdes Nancy S."
288,SBN-865,"an act providing a fuel subsidy for municipal fisherfolk, appropriating funds therefor, and for other purposes",Pending in the Committee,"Poe, Grace"
290,SBN-863,an act authorizing the department of health to set and approve the bed capacity of all doh retained hospitals and for other purposes,Pending in the Committee,"Hontiveros, Risa"
306,SBN-847,"an act providing a framework for a commuter-centered transportation policy, appropriating funds therefor, and for other purposes",Pending in the Committee,"Poe, Grace"
318,SBN-835,"an act strengthening the national agriculture and fisheries extension system to accelerate agriculture and fisheries development, appropriating funds therefor and for other purposes",Pending in the Committee,"Binay, Maria Lourdes Nancy S."
319,SBN-834,"an act establishing a standard of care and treatment centers for persons with bleeding disorders, and appropriating funds therefor",Pending in the Committee,"Binay, Maria Lourdes Nancy S."
435,SBN-718,"an act banning the sale, purchase, possession, transportation, importation, and exportation of shark fin and food containing shark fin",Pending in the Committee,"Pimentel, Aquilino ""Koko"" III"
465,SBN-688,"an act exempting drugs and medicines prescribed for mental health conditions from value-added tax, amending for the purpose section 109 of the national internal revenue code of 1997, as amended",Pending in the Committee,"Pimentel, Aquilino ""Koko"" III"
466,SBN-687,"an act creating the mindanao railways corporation prescribing its powers, functions, and duties, and providing necessary funds for its operation",Pending in the Committee,"Pimentel, Aquilino ""Koko"" III"
467,SBN-686,"an act integrating palliative and hospice care into the philippine health care system, appropriating funds therefor, and for other purposes",Pending in the Committee,"Pimentel, Aquilino ""Koko"" III"
468,SBN-685,"an act creating a research and development council of the philippines, appropriating funds therefor, and for other purposes",Pending in the Committee,"Pimentel, Aquilino ""Koko"" III"
566,SBN-587,an act promoting integrated urban farming to address food security concerns and livelihood opportunities and appropriating funds for the purpose,Pending in the Committee,"Poe, Grace"
569,SBN-584,aan act granting bereavement leave of ten (10) days with full pay to all employees in the private and public sectors and for other purposes,Pending in the Committee,"Poe, Grace"
575,SBN-578,"an act institutionalizing the 'abot alam' program of the department of education, appropriating funds therefor, and for other purposes",Pending in the Committee,"Poe, Grace"
578,SBN-575,"an act establishing the suporta para sa produktong pilipino program, appropriating funds therefor, and for other purposes",Pending in the Committee,"Poe, Grace"
581,SBN-572,"an act establishing a mandatory crop insurance coverage for small farmers, providing for a national government subsidy,  and for other purposes",Pending in the Committee,"Binay, Maria Lourdes Nancy S."
